NAME,T_XL320#0,T_XL320#1,T_XL320#2,T_XL320#3,T_XL320#4,T_XL320#5,T_XL320#6,T_XL320#7,T_XL320#8,T_XL320#9,T_XL320#10,T_XL320#11,T_XL320#12,T_XM430#13,T_XM430#14,T_XM430#15,T_XM430#16,T_XM430#17,T_XM430#18,T_XM430#19,T_XM430#20,T_XM430#21,T_XM430#22,T_XM430#23,T_XM430#24,T_XM430#25,T_XM430#26,DXL#0,DXL#1,DXL#2,DXL#3,DXL#4,DXL#5,DXL#6,DXL#7,DXL#8,DXL#9,DXL#10,DXL#11,DXL#12,DXL#13,DXL#14,DXL#15,DXL#16,DXL#17,DXL#18,DXL#19,DXL#20,DXL#21,DXL#22,DXL#23,DXL#24,DXL#25,DXL#26
duduk,200,200,200,200,200,200,200,200,200,350,200,200,200,800,800,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,179,184,176,253,108,38,323,109,251,183,177
berdiri,200,200,200,200,200,200,200,200,200,350,200,200,200,800,800,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,179,184,180,217,145,109,250,144,216,183,177
berdirimiring,200,200,200,200,200,200,200,200,200,350,200,200,200,800,800,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,179,172,166,229,134, 113,247,157,199,165,164
langkahkanann,200,200,200,200,200,200,200,200,200,350,200,200,200,800,800,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,179,172,166,228,118, 113,247,157,184,165,163
turun,200,200,200,200,200,200,200,200,200,350,200,200,200,800,800,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,179,172,166,229,130, 113,228,157,176,165,164
tegak,200,200,200,200,200,200,200,200,200,350,200,200,225,800,800,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,179,183,179,214,132, 113,246,142,202,183,177
ganti,225,225,225,225,225,225,225,225,225,225,225,225,200,800,800,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,179, 205, 197, 202, 139, 117, 243, 138, 206, 200, 197
ganti,225,225,225,225,225,225,225,225,225,225,235,225,225,800,800,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,179, 209, 197,227, 158,100, 243,148, 221, 203, 197
ganti,200,200,200,200,200,200,200,200,200,200,200,200,200,800,800,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,179, 205, 197, 221, 158,110, 243,150, 223, 202,197
ganti,200,200,200,200,200,200,200,200,200,200,200,200,200,800,800,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,179, 183, 179, 221, 158, 117, 243, 150,225, 185,182
tegak ganti miring,200,200,200,23,43,43,200,23,23,200,23,43,40,800,800,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,179, 170, 166, 221, 158, 117, 243, 158,215,165, 161
tegak ganti miring,100,100,100,100,100,100,100,100,100,100,200,100,100,800,800,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,179, 170, 166, 221,142, 117,259, 158,215,165, 161
langkahkanann,100,100,100,100,100,100,100,100,100,100,100,100,100,800,800,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,179,170,166,228,118, 113,247,157,184,165,163
turun,100,100,100,100,100,100,100,100,100,100,100,100,100,800,800,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,179,170,163,229,130, 113,228,157,178,165,161
tegak,100,100,100,100,100,100,100,100,100,100,100,100,100,800,800,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,179,183,179,214,132, 113,246,142,202,179,177
ganti,100,100,100,100,100,100,100,100,100,100,100,100,100,800,800,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,179,200, 197,208, 139,116, 243,145, 206,201, 197
ganti,100,100,100,100,100,100,100,100,100,100,100,100,100,800,800,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,179, 209, 197,227, 158,100, 243,148, 221, 203, 197
ganti,100,100,100,100,100,100,100,100,100,100,100,100,100,800,800,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,179, 205, 197, 221, 158,110, 243,149, 223, 202, 197
terakhir,100,100,100,100,100,100,100,100,100,100,100,100,100,800,800,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,179, 185, 175, 221, 158, 117, 243, 158, 221, 185, 175
terakhirmiring,100,100,100,100,100,100,100,100,100,100,100,100,100,800,800,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,179,172,166, 221, 158, 117, 243, 158, 215,165,164
